country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Minimum diet diversity (children aged 6 to 23 months),2015,22.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Minimum diet diversity (children aged 6 to 23 months),2015,21.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Minimum diet diversity (children aged 6 to 23 months),2015,22.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Minimum diet diversity (children aged 6 to 23 months),2009,63.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Minimum diet diversity (children aged 6 to 23 months),2017,50.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Minimum diet diversity (children aged 6 to 23 months),2009,63,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Minimum diet diversity (children aged 6 to 23 months),2017,54.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Minimum diet diversity (children aged 6 to 23 months),2009,63.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Minimum diet diversity (children aged 6 to 23 months),2017,52.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Minimum diet diversity (children aged 6 to 23 months),2019,38.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Minimum diet diversity (children aged 6 to 23 months),2019,40,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Minimum diet diversity (children aged 6 to 23 months),2019,39.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
